aca,somebody
acattopa,first
achi miecpa,frequently 
achto,first 
achtontli,great-grandfather
achtopa,firstly
aci,to arrive 
acicamati,to understand 
acicamatl,to understand 
ahuitl,aunt 
aic,never
altepepan,at the city 
altepetl,city
amantecatl,artisan
amatl,paper
amazolli,old paper
amehuan,you
ameyalli,fountain
amini,hunter
amiqui,thirsty 
amo,no
amo cualli,bad
amo ,not 
amotlein,nothing 
amoxcalli,library
amoxtli,book
an-,you
ana,to take
aocmo,not any more
aocmo huecauh,in a moment
apizmiqui,famine
aquimamatcayoti,stuborness
aquin,who 
aquique,who all
atenemachpan,suddenly 
atl,water
atiacuihuayan,artesian well
atli,to drink water
atolli,atole
atonahui,fever
auh,and
axihuayan,hotel
axiltia,to accompany
axiltia,to complete
axitia,to get close
axixcalli,restroom  
axixmiqui,to have the need to go to the restroom
ayamo,not yet
ayaxcanyotica,slowly
ayohui,easyly
ayotl,turtle
azcatl,ant
azo zan,perhaps  
cã­huatl,woman
ca,to be
ca ye cualli,all right
cahua,to leave 
cahuitl,time
calacoayan,door
calaqui,to come in
calli,house
calmanani,architect
calpolli,tribe
caltentli,door
camachaloa,to open one's mouth
camactli,mouth
camanallahtoa,to joke
camapaca,to wash one's mouth
camapotoniliztli,bad breath
camatl,mouth
campa,where  
can,where 
caqui,to hear
catca,was
caxtiltecatl,spaniard
caxtolli omei,eighteen
caxtolli once,sixteen
ce,one
ce,one of  
cecemilhuitica,daily
cemanahuatl,world
cemiac,always
cempanahuia,to exceed
cempoalli,twenty
cenca,very
cenca cualli,very well 
cenquizca,perfectly
cenyohual,all night
chantli,house
chia,to wait
chicahuac,healthy
chicnahui,nine
chicoace,six
chicome,seven
chicuey,eight
chihua,to do
chihuilia,to do 
chipahua,to clean
chiquihuitl,basquet
choca,to cry
chocolatl,chocolate
choloa,to flee
choquilia,to cry
choquilitzatzi,to cry
choquiltia,to make someone cry
ciciammicqui,tired
cihtli,grandmother
cihuapillahtocatzintli,queen
cihuapilli,lady
citialin,star
ciyahui,to get tired
coatl,snake
cochcahua,to let sleep
cochcayotl,dinner
cochehua,to awake
cochi,to sleep
cochiantli,dormitory
cochihuayan,bedroom
cochitlehua,to dream
cochitta,to dream
cochmiqui,sleepy
cocoa,to hurt  
cococ,hot
cocotona,to dismember
cocoxcacalli,hospital
cocoxcacalpan,at the hospital
cocoxqui,sick
cohua,to buy
colli,grandfather
coloti,scorpion
comalli,flat pan  
comitl,cooking pot
conetl,child
coni,to drink
copina,to extract
cotona,to cut
cua,to eat
cuacuahuitl,horn
cuahuitl,tree
cuaitl,head
cualli,good  
cualli ic,good  
cuallotl,goodness
cuauhmaitl,branch
cuauhmayoh,that has branches
cuauhtla,woods
cueitl,skirt
cueponi,to grow
cueyatl,frog
cuica,to sing
