prompt,completion
somebody,aca
first,acattopa
frequently ,achi miecpa
first ,achto
great-grandfather,achtontli
firstly,achtopa
to arrive ,aci
to understand ,acicamati
to understand ,acicamatl
aunt ,ahuitl
never,aic
at the city ,altepepan
city,altepetl
artisan,amantecatl
paper,amatl
old paper,amazolli
you,amehuan
fountain,ameyalli
hunter,amini
thirsty ,amiqui
no,amo
bad,amo cualli
not ,amo 
nothing ,amotlein
library,amoxcalli
book,amoxtli
you,an-
to take,ana
not any more,aocmo
in a moment,aocmo huecauh
famine,apizmiqui
stuborness,aquimamatcayoti
who ,aquin
who all,aquique
suddenly ,atenemachpan
water,atl
artesian well,atiacuihuayan
to drink water,atli
atole,atolli
fever,atonahui
and,auh
hotel,axihuayan
to accompany,axiltia
to complete,axiltia
to get close,axitia
restroom  ,axixcalli
to have the need to go to the restroom,axixmiqui
not yet,ayamo
slowly,ayaxcanyotica
easyly,ayohui
turtle,ayotl
ant,azcatl
perhaps  ,azo zan
woman,cÃ­huatl
to be,ca
all right,ca ye cualli
to leave ,cahua
time,cahuitl
door,calacoayan
to come in,calaqui
house,calli
architect,calmanani
tribe,calpolli
door,caltentli
to open one's mouth,camachaloa
mouth,camactli
to joke,camanallahtoa
to wash one's mouth,camapaca
bad breath,camapotoniliztli
mouth,camatl
where  ,campa
where ,can
to hear,caqui
was,catca
spaniard,caxtiltecatl
eighteen,caxtolli omei
sixteen,caxtolli once
one,ce
one of  ,ce
daily,cecemilhuitica
world,cemanahuatl
always,cemiac
to exceed,cempanahuia
twenty,cempoalli
very,cenca
very well ,cenca cualli
perfectly,cenquizca
all night,cenyohual
house,chantli
to wait,chia
healthy,chicahuac
nine,chicnahui
six,chicoace
seven,chicome
eight,chicuey
to do,chihua
to do ,chihuilia
to clean,chipahua
basquet,chiquihuitl
to cry,choca
chocolate,chocolatl
to flee,choloa
to cry,choquilia
to cry,choquilitzatzi
to make someone cry,choquiltia
tired,ciciammicqui
grandmother,cihtli
queen,cihuapillahtocatzintli
lady,cihuapilli
star,citialin
to get tired,ciyahui
snake,coatl
to let sleep,cochcahua
dinner,cochcayotl
to awake,cochehua
to sleep,cochi
dormitory,cochiantli
bedroom,cochihuayan
to dream,cochitlehua
to dream,cochitta
sleepy,cochmiqui
to hurt  ,cocoa
hot,cococ
to dismember,cocotona
hospital,cocoxcacalli
at the hospital,cocoxcacalpan
sick,cocoxqui
to buy,cohua
grandfather,colli
scorpion,coloti
flat pan  ,comalli
cooking pot,comitl
child,conetl
to drink,coni
to extract,copina
to cut,cotona
to eat,cua
horn,cuacuahuitl
tree,cuahuitl
head,cuaitl
good  ,cualli
good  ,cualli ic
goodness,cuallotl
branch,cuauhmaitl
that has branches,cuauhmayoh
woods,cuauhtla
skirt,cueitl
to grow,cueponi
frog,cueyatl
to sing,cuica
singer,cuicani
song,cuicatl
singing,cuico
singing,cuicoa
swallow ,cuicuizcati
maybe,cuix
has it been long ,cuix ye huecanh
to wish,eiehuia
beans,etl
to bring,hualhuica
to come,huallauh
to call ,hualmonochilia
to go out,hualquiztia
to follow ,hualtepotztoca
far,hueca
for a while,huecauhtica
far,huehca
old,huehue
old word,huehuetlahtolli
wonderfully,hueitlamahuizoltica
right,huel
tasty,huelic
sister,hueltiuhtli
to laugh,huetzca
to fall down,huetzi
turkey,huexolotl
to take  ,huica
pigeon,huilotl
the day after tomorrow,huiptla
hummingbird,huitzitzilin
to drink,i
that's why,ic
with,ica
gladly,ica paquiliztli
in front of someone's home,icalixpan
in someone's home,ichantzinco
lamb,ichcatl
young woman,ichpochtli
quickly,iciuhca
brother,icniuhtli
poor,icnotl
chair,icpalli
when,icuac
behind,icuitlapan
foot,icxitl
to write,ihcuiloa
it is written that,ihcuilotic
to talk,ihtoa
and,ihuan
from,ihuicpa
to tell,ilhuia
sky,ilhuicatl
to fear,imacaci
the one who - ,in aquin
where,in canin
from,in ihuicpa
while,in oquic
once that - ,in oyuh
how,in quenin
the one that,in tiein
poetry,in xochtl in cuicatl
like,in yuh
it's necessary,inech  monequi
this,inin
these,iniquein
those,iniqueon
that,inon
if,intia
between,intzalan
on,ipan
inside the house,itech calli
belly,ititl
to take,itqui
when (?),itquin
to see,itta
dog,itzcuintli
to nod (say yes wuth the head),ixcueloa
to know,ixmati
every,ixquich
eye,ixtelolotl
here is -,izcatqui
white,iztac
finger nail,iztitl
to hunt,ma
may you be well,ma xipatinemi
to give,maca
negation,macamo
commoner,macehualli
reverential: machiotzintli,machiotil Signal
to teach,machtia
five,macuilli
fifth,macuilli ic
hand,maitl
to slip,maiahua
to save,maquixtia
to know,mati
ten,matlactli
coward,mauhcatlayecoani
to come closer,maxitia
hunger,mayana
deer,mazatl
to get up,mehua
straight,melahuac
grinding stones,metlatl
herb,metzli
month,meztli Moon
mexican,mexicatl
fish,michin
to kill,mictia
it is said that,mihtoa
farmer,millacatl
to die,miqui
puma,miztli
cat,mizton
to put shoes on,mocactia
to leave (something),mocahuilia
to rest,mocehuia
to reside,mochantia
everything,mochi
to happen (an event),mochihua
to become,mochihua
always,mochipa
to dine,mocochcayotia
to be sick,mococoa
to transform oneself,mocuepa
to feel good,mohuelmati
grinding stone (for salsa),molcaxitl
to give,momaquilia
to free,momaquixtilia
to wash one's hands,momatequia
to be frightened,momauhtia
to throw oneself,momayahui
to rub,momotzoa
daily,momoztlae
to marry,monamictia
to love,monequiltia
to forgive,mopopolhuilia
to stand up,moquetza
one's name,motenehua
sit on,motlalia
to get dressed,motlaquentia
to run,motlatoa
to be,moyetztica
tomorrow ,moztla
meat,nacatl
body,nacayotl
ear,nacaztli
warlock,nahualli
to command,nahuatia
nahuatl language,nahuatlahtolli
in nahuatl language,nahuatlatoltica
four,nahui
to pass,nalquiza
to sell,namaca
husband,namictli
to answer,nanquilia
mother,nantli
i,ne
to me,nech-
to appear ,neci
to walk,nehnemi
root,nelhuayotl
school,nemachtiloyan
to live,nemi
tongue,nenepilli
to want,nequi
i,ni-
here,nican
hello ,niltze
later,niman
right away,nimanic
i'll see you,nimitzittaz
corn paste for tortillas or tamales,nixtamalli
also,no
my family,nocenyeliz
cactus ,nochtli
with me,nohuan
also,nohuican
also,noihuan
to call someone,notza
my head,notzontecon
also,noyuhqui
or,nozo
still,oc
more,oc achi
another,oc cequi
very early,oc yohuatzinco
another,occe
something else,occe tlamantli
again,occepa
another,occequi
jaguar,ocelotl
bar,ocnamacoyan
worm,ocuilin
road,ohtli
came,ohualla
two,ome
there,ompa
to drink,oni
i saw you,onimitzittac
i had seen you,onimitzittacca
left side,opoch
male,oquichtli
